#results for MallocBenchmark02:
#information in columns:
#mem size: size of allocated memory
#threadCount: count of threads in test
#freePercentage: ammount of deallocations after a 100 allocations
#maxLength: maximum length of random sized string
#time : count of processor cycles requred for benchmark run
#freeCount: count of free blocks at the end of benchmark
#freeCount<160 : count of free blocks at the end of benchmark smaller that 160B
#chunkCount: count of memory chunks
#freeSize: size of memory in free blocks
#overhead: internal fragmentation + header and footer sizes
#

#############, resize enabled, 14.2.2009 build (rev 729) using YieldingSpinLock in test###################
###table size 1999 ####
#############default####################

#1mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
1				2048		75				40			44033259		1080		403				1			1337196		107164

1				2048		75				60			77667603		1494		529				1			2263764		146327
1				2048		75				60			79547864		1541		572				1			2201048		146993

1				2048		75				80			165727820		2139		787				1			2843052		195482
1				2048		75				80			181529989		2031		707				1			3186916		192363

#2mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
2				2048		75				20			60167767		1093		677 			1			336196		153782
2				2048		75				20			65201963		1111		702 			1			355284		159020

2				2048		75				40			69121415		1079		640				1			880596		156912
2				2048		75				40			64986781		1103		664				1			756436		155572

2				2048		75				60			91251682		1205		547				1			2196956		157458
2				2048		75				60			88889837		1286		599				1			1802744		157317

2				2048		75				80			187528338		2198		758				1			3126904		201421
2				2048		75				80			147340204		1915		721				1			3375812		183318
2				2048		75				80			179191577		2133		898				1			2559144		197281

#4mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
4				2048		75				20			173817464		1992		1300			1			734164		310188
4				2048		75				20			170017149		1919		1281 			1			734944		304157

4				2048		75				40			203372620		2160		1357			1			1237396		317349
4				2048		75				40			203156335		2192		1345			1			593444		309282

4				2048		75				60			258496430		2084		1320			1			895972		315312
4				2048		75				60			230961617		2144		1328			1			1237036		318515

4				2048		75				80			336193835		2091		1352			1			1714780		314665
4				2048		75				80			287782567		2142		1379			1			1276424		316472

#6mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
6				2048		75				1			257123490		2399		1558			1			582252		453925
6				2048		75				1			254725979		2253		1456			1			745300		452918

6				2048		75				20			319809758		2794		1935 			1			556920		460286
#6				2048		75				20			1361969101		2829		1915 			1			752740		464545
6				2048		75				20			380228493		2894		1938 			1			557956		460425

#6				2048		75				40			652754737		3044		2017			1			929304		472005
6				2048		75				40			438041858		2964		1912			1			1025032		467867
6				2048		75				40			457046521		3072		1965			1			1078688		468625

6				2048		75				60			658291237		2926		1940			1			1087612		468983
6				2048		75				60			655511238		3019		2066			1			663780		472148

6				2048		75				80			869673163		3115		1937			1			1302924		471251
6				2048		75				80			846155283		2981		1958			1			1136788		464909


#8mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
8				2048		75				1			384200713		2952		1873			1			596108		594076
8				2048		75				1			630459016		3011		1937			1			900868		596679
8				2048		75				1			648555745		3076		2013			1			470972		601783

8				2048		75				10			554152728		3378		2260			1			776304		605991
8				2048		75				10			465562863		3359		2369			1			940952		614021

8				2048		75				20			4267791800		3548		2438 			1			842608		612182
8				2048		75				20			472404561		3520		2435 			1			961116		607850
8				2048		75				20			520690757		3637		2546 			1			943492		612635

8				2048		75				40			713858721		3640		2556			1			949816		617420
8				2048		75				40			1966408602		3891		2697			1			1127112		624163
8				2048		75				40			1918346806		3855		2661			1			1130904		618936

#8				2048		75				60			3719165724		3788		2531			1			1359544		616591
8				2048		75				60			1133484427		3901		2685			1			1442156		623147
8				2048		75				60			1144822763		3889		2541			1			1459444		621518






#############best fit####################

#2mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
2				2048		75				1			68816818		517			395				1			374908		143752
2				2048		75				1			73361952		520			422				1			371476		146299

2				2048		75				20			79415402		535			366				1			275300		151365
2				2048		75				20			70007521		523			325				1			366532		144417

2				2048		75				40			79608035		563			360				1			522804		147340
2				2048		75				40			78927459		574			359				1			687584		145568

#2				2048		75				60			185173861		643			291				1			1896572		148323
2				2048		75				60			110819987		691			263				1			1929544		149994
2				2048		75				60			114712424		641			239				1			1527896		151292

#4mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
4				2048		75				1			172452094		911			734				1			228728		291403
4				2048		75				1			168654099		908			749				1			199156		290591

4				2048		75				20			199769596		964			710				1			391764		292334
4				2048		75				20			214950601		888			642				1			733908		294128

4				2048		75				40			310600319		856			558				1			579868		293231
4				2048		75				40			265346288		802			521				1			738824		291646

4				2048		75				60			829251429		888			534				1			1190532		288529
4				2048		75				60			317804283		884			604				1			1060288		295421
4				2048		75				60			313329101		840			511				1			1265280		295117

#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
6				2048		75				1			304914715		1242		1096			1			616000		428827
6				2048		75				1			318131512		1260		1082			1			600660		435267

6				2048		75				20			374024078		1216 		892 			1			490944		436713
6				2048		75				20			375519955		1153 		835 			1			619340		428590

6				2048		75				40			484391484		1130 		850 			1			598740		434104
6				2048		75				40			492940341		1111 		811 			1			471292		427135

6				2048		75				60			748659080		1059 		773 			1			507028		430268
6				2048		75				60			741983979		1156 		880 			1			443596		432828
6				2048		75				60			730499246		1149 		832 			1			1097820		434415

#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
8				2048		75				1			516661266		1674		1448			1			439124		582395
8				2048		75				1			510925887		1572		1363			1			458304		580717




#############worst fit####################

#2mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
2				2048		75				1			64391642		1200		253				1			1396356		155032
#other took too long, seemed as a problem of optimalisation. 





#############, resize enabled, 18.2.2009 using YieldingSpinLock in test, optimized resize ###################
###table size 1999 ####

###default
#2mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
2				2048		75				1			64950146		1211		891				1			355764		155937
2				2048		75				1			66509005		1210		905				1			347140		159349

2				2048		75				60			81252048		1705		501				1			1898288		170039
2				2048		75				60			76332327		1760		500				1			2441444		168110

#4mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
4				2048		75				1			162509544		2179		1701			1			715508		317119
4				2048		75				1			159174848		2182		1687			1			722316		314000

4				2048		75				60			293710422		2960		1974			1			1211532		337067
4				2048		75				60			228466093		2922		1908			1			1233456		333591

#8mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
8				2048		75				1			497855068		4148		3341			1			945484		624339
8				2048		75				1			505976740		4102		3295			1			932112		625507

8				2048		75				60			1651393014		5203		3829			1			1416596		657740
8				2048		75				60			2018951407		5206		3809			1			1423244		659347



###firstfit
#2mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
2				2048		75				1			59563704		804			542				1			349976		148767
2				2048		75				1			60558770		832			558				1			359664		149044

2				2048		75				60			91584816		1307		608				1			1933996		161903
2				2048		75				60			80967138		1216		615				1			1929908		159425

#4mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
4				2048		75				1			130741372		1504		1060			1			712256		302221
4				2048		75				1			132574660		1532		1036			1			730436		299265

4				2048		75				60			277456182		2126		1380			1			1251972		317296
4				2048		75				60			255596694		2150		1393			1			1228436		316423

#
#8mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
8				2048		75				1			364839473		2939		2069			1			416028		600694
				2048		75				1			364703556		2901		1953			1			438148		596854
8
8				2048		75				60			1240207119		3859		2608			1			1465116		626622
#8				2048		75				60			1513868166		4040		2808			1			2201048		146993
8				2048		75				60			1118752083		4018		2655			1			1452868		630200




###nextfit
#2mb
